Date,Open,High,Low,Close,Volume,Market Cap
29-May-21,35684.16,37234.5,33693.93,34616.07," 45,231,013,335.00 "," 648,061,013,208.00 "
28-May-21,38507.08,38856.97,34779.04,35697.61," 55,200,191,952.00 "," 668,283,930,067.00 "
27-May-21,39316.89,40379.62,37247.9,38436.97," 43,210,968,721.00 "," 719,538,129,128.00 "
26-May-21,38392.62,40782.08,37905.83,39294.2," 51,346,735,160.00 "," 735,556,411,166.00 "
25-May-21,38795.78,39776.35,36581.43,38402.22," 56,211,915,803.00 "," 718,829,377,408.00 "
24-May-21,34700.36,39835.14,34551.08,38705.98," 67,359,584,098.00 "," 724,332,072,424.00 "
23-May-21,37531.45,38289.22,31227.34,34770.58," 78,469,274,361.00 "," 650,686,270,744.00 "
22-May-21,37371.03,38831.05,35383.68,37536.63," 57,377,273,240.00 "," 702,449,253,648.00 "
21-May-21,40596.95,42172.17,33616.45,37304.69," 82,051,616,861.00 "," 698,108,789,817.00 "
20-May-21,36753.67,42462.98,35050.62,40782.74," 88,281,943,359.00 "," 763,195,929,022.00 "
19-May-21,42944.98,43546.12,30681.5,37002.44," 126,358,098,747.00 "," 692,452,570,147.00 "
18-May-21,43488.06,45812.46,42367.83,42909.4," 56,187,365,084.00 "," 802,974,346,863.00 "
17-May-21,46415.9,46623.56,42207.29,43537.51," 74,903,638,450.00 "," 814,701,646,509.00 "
16-May-21,46716.64,49720.04,43963.35,46456.06," 64,047,871,555.00 "," 869,279,076,502.00 "
15-May-21,49855.49,50639.67,46664.14,46760.19," 59,161,047,474.00 "," 874,931,019,742.00 "
14-May-21,49682.98,51438.12,48868.58,49880.53," 55,737,497,453.00 "," 933,276,901,265.00 "
13-May-21,49735.43,51330.84,46980.02,49716.19," 96,721,152,926.00 "," 930,161,010,060.00 "
12-May-21,56714.53,57939.36,49150.53,49150.53," 75,215,403,907.00 "," 919,527,847,950.00 "
11-May-21,55847.24,56872.54,54608.65,56704.57," 61,308,396,325.00 "," 1,060,790,877,192.00 "
10-May-21,58250.87,59519.35,54071.46,55859.8," 71,776,546,298.00 "," 1,044,927,337,818.00 "
9-May-21,58877.39,59210.88,56482,58232.32," 65,906,690,347.00 "," 1,089,244,557,676.00 "
8-May-21,57352.77,59464.61,56975.21,58803.78," 65,382,980,634.00 "," 1,099,863,941,004.00 "
7-May-21,56413.95,58606.63,55321.85,57356.4," 68,434,023,376.00 "," 1,072,727,435,210.00 "
6-May-21,57441.31,58363.31,55382.51,56396.51," 69,523,285,106.00 "," 1,054,714,918,675.00 "
5-May-21,53252.16,57911.36,52969.06,57424.01," 69,241,316,747.00 "," 1,073,873,012,867.00 "
4-May-21,57214.18,57214.18,53191.43,53333.54," 68,564,706,967.00 "," 997,324,142,593.00 "
3-May-21,56620.27,58973.31,56590.87,57200.29," 51,713,139,031.00 "," 1,069,563,935,453.00 "
2-May-21,57825.86,57902.59,56141.91,56631.08," 38,177,405,335.00 "," 1,058,862,005,057.00 "
1-May-21,57714.66,58448.34,57052.27,57828.05," 42,836,427,360.00 "," 1,081,174,515,343.00 "
30-Apr-21,53568.66,57900.72,53129.6,57750.18," 52,395,931,985.00 "," 1,079,669,884,320.00 "
29-Apr-21,54858.09,55115.84,52418.03,53555.11," 46,088,929,780.00 "," 1,001,193,634,072.00 "
28-Apr-21,55036.64,56227.21,53887.92,54824.7," 48,000,572,955.00 "," 1,024,888,208,734.00 "
27-Apr-21,54030.3,55416.96,53319.19,55033.12," 49,448,222,757.00 "," 1,028,733,359,592.00 "
26-Apr-21,49077.79,54288,48852.8,54021.75," 58,284,039,825.00 "," 1,009,780,042,661.00 "
25-Apr-21,50052.83,50506.02,47159.49,49004.25," 46,117,114,240.00 "," 915,955,943,256.00 "
24-Apr-21,51143.23,51167.56,48805.28,50050.87," 49,014,494,781.00 "," 935,471,648,213.00 "
23-Apr-21,51739.81,52120.79,47714.66,51093.65," 86,668,667,320.00 "," 954,919,230,092.00 "
22-Apr-21,53857.11,55410.23,50583.81,51762.27," 74,798,630,778.00 "," 967,372,472,375.00 "
21-Apr-21,56471.13,56757.97,53695.47,53906.09," 54,926,612,466.00 "," 1,007,389,534,360.00 "
20-Apr-21,55681.79,57062.15,53448.05,56473.03," 67,849,323,955.00 "," 1,055,323,526,514.00 "
19-Apr-21,56191.58,57520.05,54368.59,55724.27," 65,344,865,159.00 "," 1,041,287,672,154.00 "
18-Apr-21,60701.89,61057.46,52829.54,56216.19," 97,468,872,758.00 "," 1,050,445,401,610.00 "
17-Apr-21,61529.92,62572.18,60361.35,60683.82," 66,138,759,198.00 "," 1,133,882,479,237.00 "
16-Apr-21,63258.51,63594.72,60222.53,61572.79," 84,293,007,468.00 "," 1,150,457,156,740.00 "
15-Apr-21,63075.2,63821.67,62208.96,63314.01," 60,954,381,579.00 "," 1,182,945,492,744.00 "
14-Apr-21,63523.75,64863.1,61554.8,63109.7," 77,451,779,687.00 "," 1,179,061,093,980.00 "
13-Apr-21,59890.02,63742.28,59869.96,63503.46," 69,983,454,362.00 "," 1,186,364,044,140.00 "
12-Apr-21,60175.94,61253.04,59589.87,59893.45," 51,828,688,519.00 "," 1,118,871,072,069.00 "
11-Apr-21,59846.23,60790.56,59289.8,60204.96," 46,280,252,580.00 "," 1,124,635,848,775.00 "
10-Apr-21,58253.78,61276.67,58038.71,59793.24," 58,238,470,525.00 "," 1,116,889,802,872.00 "
9-Apr-21,58326.56,58937.05,57807.86,58245," 46,655,208,546.00 "," 1,087,911,057,870.00 "
8-Apr-21,56099.91,58338.74,55879.08,58323.95," 53,053,855,641.00 "," 1,089,334,328,139.00 "
7-Apr-21,58186.51,58731.14,55604.02,56048.94," 75,645,303,584.00 "," 1,046,793,054,753.00 "
6-Apr-21,59171.93,59479.58,57646.81,58192.36," 66,058,027,988.00 "," 1,086,769,183,295.00 "
5-Apr-21,58760.87,59891.3,57694.83,59057.88," 60,706,272,115.00 "," 1,102,880,790,089.00 "
4-Apr-21,57604.84,58913.75,57168.68,58758.56," 50,749,662,970.00 "," 1,097,232,660,348.00 "
3-Apr-21,59397.41,60110.27,57603.89,57603.89," 59,641,344,484.00 "," 1,075,617,261,180.00 "
2-Apr-21,59098.88,60267.19,58869.28,59384.31," 58,727,860,620.00 "," 1,108,813,863,083.00 "
1-Apr-21,58926.56,59586.07,58505.28,59095.81," 61,669,163,792.00 "," 1,103,377,830,758.00 "
31-Mar-21,58930.28,59930.03,57726.42,58918.83," 65,520,826,225.00 "," 1,100,016,786,763.00 "
30-Mar-21,57750.13,59447.22,57251.55,58917.69," 54,414,116,432.00 "," 1,099,939,890,804.00 "
29-Mar-21,55947.9,58342.1,55139.34,57750.2," 57,625,587,027.00 "," 1,078,088,296,477.00 "
28-Mar-21,55974.94,56610.31,55071.11,55950.75," 47,686,580,918.00 "," 1,044,446,559,059.00 "
27-Mar-21,55137.57,56568.22,54242.91,55973.51," 47,266,542,233.00 "," 1,044,814,147,412.00 "
26-Mar-21,51683.01,55137.31,51579.86,55137.31," 56,652,197,978.00 "," 1,029,150,697,411.00 "
25-Mar-21,52726.75,53392.39,50856.57,51704.16," 67,999,812,841.00 "," 965,028,762,666.00 "
24-Mar-21,54710.49,57262.38,52514.33,52774.26," 70,567,223,787.00 "," 984,948,142,898.00 "
23-Mar-21,54511.66,55985.44,53470.69,54738.94," 56,435,023,914.00 "," 1,021,563,479,682.00 "
22-Mar-21,57517.89,58471.48,54288.16,54529.15," 56,521,454,974.00 "," 1,017,595,269,117.00 "
21-Mar-21,58309.91,58767.9,56005.62,57523.42," 51,943,414,539.00 "," 1,073,417,235,408.00 "
20-Mar-21,58332.26,60031.29,58213.3,58313.64," 50,361,731,222.00 "," 1,088,105,221,978.00 "
19-Mar-21,57850.44,59498.38,56643.7,58346.65," 49,063,873,786.00 "," 1,088,666,450,746.00 "
18-Mar-21,58893.08,60116.25,54253.58,57858.92," 55,746,041,000.00 "," 1,079,511,086,884.00 "
17-Mar-21,56825.83,58969.82,54528.63,58870.89," 60,258,313,191.00 "," 1,098,337,655,327.00 "
16-Mar-21,55840.79,56833.18,53555.03,56804.9," 59,749,798,599.00 "," 1,059,745,818,423.00 "
15-Mar-21,59267.43,60540.99,55393.17,55907.2," 66,419,369,890.00 "," 1,042,946,024,860.00 "
14-Mar-21,61221.13,61597.92,59302.32,59302.32," 43,901,225,564.00 "," 1,106,226,132,525.00 "
